Frame,Time,1_pos_X,1_pos_Y,1_pos_Z,2_pos_X,2_pos_Y,2_pos_Z,3_pos_X,3_pos_Y,3_pos_Z,4_pos_X,4_pos_Y,4_pos_Z,C_pos_X,C_pos_Y,C_pos_Z
469,4.68,276.307,217.145,224.778,276.023,367.601,219.039,424.718,367.539,208.739,423.768,218.426,216.977,355.029,291.416,236.969
470,4.69,278.112,220.178,227.595,278.122,370.745,221.632,426.675,370.367,210.929,425.737,221.39,219.347,356.85,294.389,239.321
471,4.7,280.11,223.246,230.202,280.233,373.879,224.194,428.535,373.384,212.987,427.524,224.472,221.726,358.978,297.562,241.833
472,4.71,282.091,226.388,232.69,282.114,377.013,226.502,430.466,376.377,215.177,429.464,227.387,223.963,360.966,300.627,244.036
473,4.72,284.052,229.566,235.181,284.267,380.173,228.791,432.554,379.516,217.176,431.508,230.534,226.168,362.866,303.737,246.218
474,4.73,286.211,232.862,237.603,286.322,383.324,230.859,434.686,382.435,219.129,433.489,233.704,228.377,364.957,306.939,248.387
475,4.74,288.187,236.02,239.744,288.407,386.766,232.935,436.762,385.517,220.941,435.534,236.703,230.259,366.989,310.152,250.368
476,4.75,290.281,239.252,241.792,290.623,389.972,234.928,438.897,388.832,222.92,437.443,239.905,232.313,369.161,313.303,252.327
477,4.76,292.432,242.555,243.794,292.735,393.309,236.935,441.208,391.962,224.712,439.6,243.089,234.227,371.358,316.587,254.44
478,4.77,294.514,245.852,245.701,295.174,396.609,238.926,443.431,395.153,226.514,441.782,246.175,235.938,373.63,319.939,256.269
479,4.78,296.656,249.095,247.43,297.564,400.062,240.783,445.763,398.347,228.333,443.943,249.406,237.66,376.042,323.128,258.052
480,4.79,299.024,252.385,249.326,299.99,403.45,242.656,448.129,401.579,229.979,446.342,252.767,239.376,378.257,326.472,259.633
481,4.8,301.308,255.788,250.996,302.422,406.708,244.399,450.714,405.006,231.67,448.7,256.087,240.989,380.685,329.658,261.372
482,4.81,303.725,259.219,252.66,304.62,409.974,245.944,453.164,408.287,233.255,450.945,259.319,242.356,383.086,333.047,263.111
483,4.82,306.221,262.581,254.102,307.189,413.305,247.502,455.513,411.572,234.598,453.439,262.606,243.756,385.513,336.405,264.554
484,4.83,308.691,266.136,255.533,309.784,416.755,249.065,458.155,414.906,236.098,455.944,265.975,245.127,388.182,339.719,266.121
485,4.84,311.142,269.602,256.905,312.524,420.395,250.695,460.778,418.356,237.471,458.378,269.256,246.471,390.678,343.184,267.376
486,4.85,313.721,273.11,258.166,315.311,423.922,252.12,463.456,421.748,238.837,460.99,272.793,247.594,393.333,346.662,268.729
487,4.86,316.389,276.528,259.412,317.775,427.259,253.428,466.132,425.26,240.515,463.795,276.368,248.993,395.984,350.044,270.185
488,4.87,319.102,279.962,260.446,320.519,430.763,254.656,468.814,428.74,241.637,466.464,279.842,250.113,398.787,353.596,271.148
489,4.88,321.855,283.457,261.527,323.381,434.27,256.055,471.736,432.35,242.899,469.155,283.288,251.152,401.401,356.989,272.379
490,4.89,324.663,287.112,262.611,326.462,438.068,257.23,474.561,435.757,244.122,471.96,286.787,252.165,404.269,360.614,273.524
491,4.9,327.547,290.534,263.519,329.193,441.412,258.362,477.41,439.33,245.143,474.664,290.153,253.146,407.325,364.006,274.573
492,4.91,330.543,294.131,264.574,332.163,445.028,259.315,480.378,442.792,246.372,477.704,293.776,254.076,410.153,367.608,275.507
493,4.92,333.494,297.697,265.359,335.12,448.452,260.445,483.368,446.253,247.38,480.851,297.452,255.146,413.262,371.157,276.576
494,4.93,336.547,301.218,266.166,338.079,452.234,261.316,486.422,450.038,248.245,483.787,300.975,255.761,416.113,374.626,277.295
495,4.94,339.618,304.83,267.119,341.389,455.963,262.287,489.432,453.676,249.132,486.99,304.614,256.864,419.3,378.445,278.286
496,4.95,342.787,308.58,267.929,344.437,459.353,263.105,492.681,457.248,249.996,489.9,308.142,257.52,422.376,381.83,279.11
497,4.96,345.929,312.096,268.652,347.61,462.976,263.927,495.947,460.865,250.888,493.33,312.062,258.309,425.739,385.558,279.855
498,4.97,349.331,315.748,269.509,351.007,466.836,264.765,498.997,464.539,251.517,496.541,315.501,259.231,428.953,389.158,280.616
499,4.98,352.628,319.375,270.157,354.28,470.46,265.515,502.275,468.269,252.245,499.775,319.225,259.825,432.182,392.916,281.372
500,4.99,355.955,323.139,270.863,357.476,474.049,266.128,505.584,471.821,252.954,503.265,322.992,260.539,435.677,396.675,282.15
501,5,359.453,326.791,271.497,360.745,477.655,266.753,509.036,475.746,253.557,506.724,326.892,261.069,438.936,400.239,282.588
