NO_OF_FRAMES	494
NO_OF_DATA_TYPES	15
FREQUENCY	100
TIME_STAMP	2025-01-24, 16:29:33
DATA_INCLUDED	Velocity
DATA_TYPES	2_vel_X	2_vel_Y	2_vel_Z	3_vel_X	3_vel_Y	3_vel_Z	4_vel_X	4_vel_Y	4_vel_Z	C_vel_X	C_vel_Y	C_vel_Z	1_vel_X	1_vel_Y	1_vel_Z

Frame	Time	2_vel_X	2_vel_Y	2_vel_Z	3_vel_X	3_vel_Y	3_vel_Z	4_vel_X	4_vel_Y	4_vel_Z	C_vel_X	C_vel_Y	C_vel_Z	1_vel_X	1_vel_Y	1_vel_Z	
450	4.49000	139.252	234.151	373.304	136.393	237.150	427.457	130.330	230.553	381.405	129.114	214.136	376.286	130.776	226.128	335.691
451	4.50000	145.599	244.778	386.085	146.093	228.318	420.817	139.004	229.756	381.468	102.538	208.732	364.946	145.883	232.935	339.002
452	4.51000	148.321	251.327	379.321	149.931	233.160	394.669	146.175	233.198	372.451	112.161	227.644	364.866	144.248	238.928	345.481
453	4.52000	145.667	241.548	361.390	144.625	251.942	389.580	146.736	248.806	360.596	108.212	232.634	338.046	141.139	243.802	325.024
454	4.53000	141.891	245.053	363.079	146.177	255.140	378.289	147.506	247.115	350.923	126.730	238.196	346.106	139.120	251.947	318.638
455	4.54000	148.296	252.482	347.266	153.616	252.917	373.739	145.190	252.242	336.125	162.088	257.432	357.769	147.191	266.210	337.011
456	4.55000	157.099	263.661	349.509	163.200	257.667	371.034	145.693	254.824	337.687	179.724	263.888	356.408	150.768	265.613	326.615
457	4.56000	165.440	271.848	355.567	163.136	253.064	352.816	156.550	265.294	343.918	179.825	254.560	359.791	147.629	263.871	305.281
458	4.57000	171.468	274.462	334.175	146.807	259.847	340.347	157.186	268.554	323.394	181.408	277.434	342.969	154.133	268.874	306.034
459	4.58000	168.946	276.852	338.877	162.783	270.964	335.320	146.615	259.173	309.084	175.274	277.874	321.066	151.417	279.987	320.680
