NO_OF_FRAMES	494
NO_OF_DATA_TYPES	15
FREQUENCY	100
TIME_STAMP	2025-01-24, 16:24:13
DATA_INCLUDED	Position
DATA_TYPES	2_pos_X	2_pos_Y	2_pos_Z	3_pos_X	3_pos_Y	3_pos_Z	4_pos_X	4_pos_Y	4_pos_Z	C_pos_X	C_pos_Y	C_pos_Z	1_pos_X	1_pos_Y	1_pos_Z

Frame	Time	2_pos_X	2_pos_Y	2_pos_Z	3_pos_X	3_pos_Y	3_pos_Z	4_pos_X	4_pos_Y	4_pos_Z	C_pos_X	C_pos_Y	C_pos_Z	1_pos_X	1_pos_Y	1_pos_Z	
451	4.50000	246.047	318.044	160.839	394.369	319.031	150.972	395.020	170.256	161.827	325.250	242.577	180.183	247.565	167.472	169.440
452	4.51000	247.522	320.648	164.798	395.880	321.198	154.964	396.524	172.495	165.681	326.150	244.797	183.856	249.139	169.701	172.835
453	4.52000	249.013	323.071	168.426	397.368	323.694	158.865	397.943	174.920	169.276	327.493	247.130	187.480	250.450	172.250	176.350
454	4.53000	250.435	325.479	172.025	398.773	326.237	162.755	399.458	177.471	172.893	328.315	249.449	190.617	251.962	174.577	179.335
455	4.54000	251.851	327.972	175.687	400.292	328.797	166.431	400.893	179.863	176.295	330.028	251.894	194.402	253.233	177.289	182.722
456	4.55000	253.401	330.528	178.971	401.845	331.295	170.230	402.362	182.516	179.616	331.557	254.598	197.772	254.905	179.902	186.075
457	4.56000	254.993	333.245	182.678	403.556	333.950	173.852	403.807	184.959	183.049	333.622	257.172	201.530	256.248	182.601	189.255
458	4.57000	256.710	335.965	186.082	405.108	336.357	177.286	405.493	187.822	186.494	335.153	259.689	204.968	257.858	185.179	192.181
459	4.58000	258.422	338.735	189.361	406.492	339.147	180.659	406.951	190.330	189.516	337.250	262.721	208.390	259.331	187.979	195.375
460	4.59000	260.089	341.502	192.860	408.363	341.776	183.993	408.426	193.005	192.676	338.658	265.247	211.389	260.886	190.779	198.594
461	4.60000	261.812	344.335	196.034	410.152	344.526	187.245	410.107	195.598	195.705	340.310	268.056	214.611	262.636	193.553	201.682
462	4.61000	263.237	346.840	199.043	411.876	347.379	190.389	411.708	198.451	198.680	342.281	270.984	217.730	264.196	196.314	204.903
463	4.62000	265.010	349.681	202.088	413.695	350.112	193.416	413.377	201.135	201.325	343.936	273.756	220.788	265.807	199.075	207.598
464	4.63000	266.810	352.593	205.166	415.451	352.974	196.286	415.133	204.109	204.317	345.771	276.864	223.665	267.456	202.259	210.717
465	4.64000	268.661	355.626	208.395	417.210	355.784	198.701	416.796	206.875	207.008	347.543	279.598	226.334	269.154	205.028	213.696
466	4.65000	270.565	358.664	211.238	418.885	358.723	201.402	418.525	209.850	209.667	349.336	282.460	229.234	270.762	208.124	216.538
467	4.66000	272.302	361.419	213.862	420.969	361.507	204.017	420.286	212.642	212.052	351.119	285.317	231.840	272.685	210.930	219.232
468	4.67000	274.168	364.484	216.568	422.758	364.426	206.333	422.025	215.544	214.535	352.972	288.306	234.354	274.544	214.244	222.081
469	4.68000	276.023	367.601	219.039	424.718	367.539	208.739	423.768	218.426	216.977	355.029	291.416	236.969	276.307	217.145	224.778
470	4.69000	278.122	370.745	221.632	426.675	370.367	210.929	425.737	221.390	219.347	356.850	294.389	239.321	278.112	220.178	227.595
471	4.70000	280.233	373.879	224.194	428.535	373.384	212.987	427.524	224.472	221.726	358.978	297.562	241.833	280.110	223.246	230.202
472	4.71000	282.114	377.013	226.502	430.466	376.377	215.177	429.464	227.387	223.963	360.966	300.627	244.036	282.091	226.388	232.690
473	4.72000	284.267	380.173	228.791	432.554	379.516	217.176	431.508	230.534	226.168	362.866	303.737	246.218	284.052	229.566	235.181
474	4.73000	286.322	383.324	230.859	434.686	382.435	219.129	433.489	233.704	228.377	364.957	306.939	248.387	286.211	232.862	237.603
475	4.74000	288.407	386.766	232.935	436.762	385.517	220.941	435.534	236.703	230.259	366.989	310.152	250.368	288.187	236.020	239.744
476	4.75000	290.623	389.972	234.928	438.897	388.832	222.920	437.443	239.905	232.313	369.161	313.303	252.327	290.281	239.252	241.792
477	4.76000	292.735	393.309	236.935	441.208	391.962	224.712	439.600	243.089	234.227	371.358	316.587	254.440	292.432	242.555	243.794
478	4.77000	295.174	396.609	238.926	443.431	395.153	226.514	441.782	246.175	235.938	373.630	319.939	256.269	294.514	245.852	245.701
479	4.78000	297.564	400.062	240.783	445.763	398.347	228.333	443.943	249.406	237.660	376.042	323.128	258.052	296.656	249.095	247.430
480	4.79000	299.990	403.450	242.656	448.129	401.579	229.979	446.342	252.767	239.376	378.257	326.472	259.633	299.024	252.385	249.326
481	4.80000	302.422	406.708	244.399	450.714	405.006	231.670	448.700	256.087	240.989	380.685	329.658	261.372	301.308	255.788	250.996
482	4.81000	304.620	409.974	245.944	453.164	408.287	233.255	450.945	259.319	242.356	383.086	333.047	263.111	303.725	259.219	252.660
483	4.82000	307.189	413.305	247.502	455.513	411.572	234.598	453.439	262.606	243.756	385.513	336.405	264.554	306.221	262.581	254.102
484	4.83000	309.784	416.755	249.065	458.155	414.906	236.098	455.944	265.975	245.127	388.182	339.719	266.121	308.691	266.136	255.533
485	4.84000	312.524	420.395	250.695	460.778	418.356	237.471	458.378	269.256	246.471	390.678	343.184	267.376	311.142	269.602	256.905
486	4.85000	315.311	423.922	252.120	463.456	421.748	238.837	460.990	272.793	247.594	393.333	346.662	268.729	313.721	273.110	258.166
487	4.86000	317.775	427.259	253.428	466.132	425.260	240.515	463.795	276.368	248.993	395.984	350.044	270.185	316.389	276.528	259.412
488	4.87000	320.519	430.763	254.656	468.814	428.740	241.637	466.464	279.842	250.113	398.787	353.596	271.148	319.102	279.962	260.446
489	4.88000	323.381	434.270	256.055	471.736	432.350	242.899	469.155	283.288	251.152	401.401	356.989	272.379	321.855	283.457	261.527
